State_Name,District_Name,YEAR,Season,Crop,Area,Production,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
arunachal pradesh,east kameng,2012,whole year,dry chillies,100.0,181.0,57.8,35.8,134.2,403.4,187.4,645.8,638.9,316.0,724.9,248.1,22.0,26.2
arunachal pradesh,east kameng,2012,whole year,dry ginger,62.0,254.0,57.8,35.8,134.2,403.4,187.4,645.8,638.9,316.0,724.9,248.1,22.0,26.2
arunachal pradesh,east kameng,2012,whole year,oilseeds total,1100.0,1427.0,57.8,35.8,134.2,403.4,187.4,645.8,638.9,316.0,724.9,248.1,22.0,26.2
arunachal pradesh,east kameng,2012,whole year,potato,103.0,710.0,57.8,35.8,134.2,403.4,187.4,645.8,638.9,316.0,724.9,248.1,22.0,26.2
arunachal pradesh,east kameng,2013,kharif,maize,2635.0,3636.0,18.5,40.5,115.1,175.1,335.8,290.0,329.6,230.2,316.1,164.1,13.3,14.6
arunachal pradesh,east kameng,2013,kharif,rice,8968.0,9087.0,18.5,40.5,115.1,175.1,335.8,290.0,329.6,230.2,316.1,164.1,13.3,14.6
arunachal pradesh,east kameng,2013,kharif,small millets,600.0,675.0,18.5,40.5,115.1,175.1,335.8,290.0,329.6,230.2,316.1,164.1,13.3,14.6
arunachal pradesh,east kameng,2013,rabi,wheat,35.0,81.0,18.5,40.5,115.1,175.1,335.8,290.0,329.6,230.2,316.1,164.1,13.3,14.6
arunachal pradesh,east kameng,2013,whole year,dry chillies,104.0,192.0,18.5,40.5,115.1,175.1,335.8,290.0,329.6,230.2,316.1,164.1,13.3,14.6
arunachal pradesh,east kameng,2013,whole year,dry ginger,68.0,280.0,18.5,40.5,115.1,175.1,335.8,290.0,329.6,230.2,316.1,164.1,13.3,14.6
arunachal pradesh,east kameng,2013,whole year,oilseeds total,1127.0,1462.0,18.5,40.5,115.1,175.1,335.8,290.0,329.6,230.2,316.1,164.1,13.3,14.6
arunachal pradesh,east kameng,2013,whole year,potato,110.0,770.0,18.5,40.5,115.1,175.1,335.8,290.0,329.6,230.2,316.1,164.1,13.3,14.6
arunachal pradesh,east kameng,2014,kharif,maize,2700.0,4038.0,19.0,101.9,80.3,86.7,299.0,415.8,392.4,599.6,343.0,35.1,20.1,10.2
arunachal pradesh,east kameng,2014,kharif,rice,8968.0,9436.0,19.0,101.9,80.3,86.7,299.0,415.8,392.4,599.6,343.0,35.1,20.1,10.2
arunachal pradesh,east kameng,2014,kharif,small millets,817.0,887.0,19.0,101.9,80.3,86.7,299.0,415.8,392.4,599.6,343.0,35.1,20.1,10.2
arunachal pradesh,east kameng,2014,rabi,wheat,128.0,418.0,19.0,101.9,80.3,86.7,299.0,415.8,392.4,599.6,343.0,35.1,20.1,10.2
arunachal pradesh,east kameng,2014,whole year,dry chillies,115.0,154.0,19.0,101.9,80.3,86.7,299.0,415.8,392.4,599.6,343.0,35.1,20.1,10.2
arunachal pradesh,east kameng,2014,whole year,dry ginger,155.0,570.0,19.0,101.9,80.3,86.7,299.0,415.8,392.4,599.6,343.0,35.1,20.1,10.2
arunachal pradesh,east kameng,2014,whole year,oilseeds total,1242.0,1569.0,19.0,101.9,80.3,86.7,299.0,415.8,392.4,599.6,343.0,35.1,20.1,10.2
arunachal pradesh,east kameng,2014,whole year,potato,119.0,849.0,19.0,101.9,80.3,86.7,299.0,415.8,392.4,599.6,343.0,35.1,20.1,10.2
arunachal pradesh,east siang,2011,kharif,maize,3346.0,8789.0,40.0,51.3,174.5,240.8,219.6,288.4,531.4,277.6,286.7,51.9,16.2,15.2
arunachal pradesh,east siang,2011,kharif,rice,15378.0,26268.0,40.0,51.3,174.5,240.8,219.6,288.4,531.4,277.6,286.7,51.9,16.2,15.2
